[u'mc', u'01', u'00000a1e', u'00000000', u'00000000', u'00000000', u'0a9b', u'2e', u'000bb727', u'a0:0']
[u'mr', u'01', u'00000974', u'00000000', u'00000000', u'00000000', u'0a9b', u'2e', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a22', u'00000000', u'00000000', u'00000000', u'0a9c', u'2f', u'000bb83f', u'a0:0']
[u'mr', u'01', u'00000978', u'00000000', u'00000000', u'00000000', u'0a9c', u'2f', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a5b', u'00000000', u'00000000', u'00000000', u'0a9d', u'30', u'000bb958', u'a0:0']
[u'mr', u'01', u'000009b1', u'00000000', u'00000000', u'00000000', u'0a9d', u'30', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a1e', u'00000000', u'00000000', u'00000000', u'0a9e', u'31', u'000bba6f', u'a0:0']
[u'mr', u'01', u'00000974', u'00000000', u'00000000', u'00000000', u'0a9e', u'31', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a48', u'00000000', u'00000000', u'00000000', u'0a9f', u'32', u'000bbb87', u'a0:0']
[u'mr', u'01', u'0000099e', u'00000000', u'00000000', u'00000000', u'0a9f', u'32', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a2c', u'00000000', u'00000000', u'00000000', u'0aa0', u'33', u'000bbca0', u'a0:0']
[u'mr', u'01', u'00000982', u'00000000', u'00000000', u'00000000', u'0aa0', u'33', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a10', u'00000000', u'00000000', u'00000000', u'0aa1', u'34', u'000bbdb7', u'a0:0']
[u'mr', u'01', u'00000966', u'00000000', u'00000000', u'00000000', u'0aa1', u'34', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a27', u'00000000', u'00000000', u'00000000', u'0aa2', u'35', u'000bbecf', u'a0:0']
[u'mr', u'01', u'0000097d', u'00000000', u'00000000', u'00000000', u'0aa2', u'35', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a5b', u'00000000', u'00000000', u'00000000', u'0aa3', u'36', u'000bbfe7', u'a0:0']
[u'mr', u'01', u'000009b1', u'00000000', u'00000000', u'00000000', u'0aa3', u'36', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a4d', u'00000000', u'00000000', u'00000000', u'0aa4', u'37', u'000bc0ff', u'a0:0']
[u'mr', u'01', u'000009a3', u'00000000', u'00000000', u'00000000', u'0aa4', u'37', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a43', u'00000000', u'00000000', u'00000000', u'0aa5', u'38', u'000bc217', u'a0:0']
[u'mr', u'01', u'00000999', u'00000000', u'00000000', u'00000000', u'0aa5', u'38', u'40494049', u'a0:0']
[u'mc', u'01', u'000009f4', u'00000000', u'00000000', u'00000000', u'0aa6', u'39', u'000bc330', u'a0:0']
[u'mr', u'01', u'0000094a', u'00000000', u'00000000', u'00000000', u'0aa6', u'39', u'40494049', u'a0:0']
